Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
风扇,feng1shan4,electric fan,2,2.293176135,0.51761496,3.360573028,1.8751,5.8,3,4,10,NA,feng1,shan4,NA,21,25,NA,867.7127801,27.49201128,NA,1409.316233,1059.740446,NA,6.5,7,NA
风筝,feng1zheng5,kite,2,3.781920642,0.679602365,3.577780207,2.0212,7.428571429,2,4,12,NA,feng1,zheng1,NA,21,21,NA,867.7127801,6.976769742,NA,1409.316233,1330.082705,NA,6.5,7.5,NA
枫叶,feng1ye4,maple leaf,2,0.586943892,0.200561572,2.7692327,1.5051,9.5,0,8,5,NA,feng1,ye4,NA,21,4,NA,0.943824891,199.4746663,NA,1409.316233,510.1410537,NA,7.5,6.5,NA
蜂窝,feng1wo1,honeycomb,2,2.092068228,0.490249068,3.320728018,1.5315,NA,0,13,12,NA,feng1,wo1,NA,21,4,NA,29.14690026,34.82935846,NA,1409.316233,45.21950489,NA,7.5,7,NA
凤凰,feng4huang2,phoenix,2,7.375473245,0.923009356,3.867806782,2.4814,10.04761905,1,4,11,NA,feng4,huang2,NA,18,7,NA,50.40213281,6.232742422,NA,183.9604185,535.1924401,NA,8.5,8.5,NA
胡子,hu2zi5,beard,2,9.240953831,1.010340408,3.965722875,2.8965,8.5,5,9,3,NA,hu2,zi,NA,21,6,NA,164.7778335,3310.14391,NA,508.6388719,825.9382697,NA,7.5,6.5,NA
葫芦,hu2lu5,calabash,2,5.388963918,0.805430435,3.731541915,1.6435,8.45,3,12,7,NA,hu2,lu2,NA,21,15,NA,5.181955194,9.607774125,NA,508.6388719,1258.857226,NA,7.5,7.5,NA
湖泊,hu2po1,lake,2,5.28886496,0.798572269,3.723400505,1.4472,8.681818182,1,12,8,NA,hu2,po1,NA,21,16,NA,217.0938521,33.92791487,NA,508.6388719,494.6934051,NA,7.5,8,NA
蝴蝶,hu2die2,butterfly,2,5.837589249,0.834903008,3.766264538,2.5944,7.086956522,0,15,15,NA,hu2,die2,NA,21,5,NA,4.655888861,6.244851365,NA,508.6388719,67.98162822,NA,7.5,7.5,NA
护士,hu4shi5,nurse,2,7.284474192,0.918264949,3.862415768,3.1351,9.304347826,10,7,3,NA,hu4,shi4,NA,23,13,NA,548.4846967,364.3910799,NA,1258.857226,18835.466,NA,7,7,NA
交警,jiao1jing3,traffic police,2,4.309715149,0.725071223,3.634503567,1.5051,NA,1,6,19,NA,jiao1,jing3,NA,14,12,NA,1093.708724,141.7809312,NA,2072.178649,547.6067983,NA,7,9,NA
胶卷,jiao1juan3,film,2,2.80004086,0.579788266,3.447268798,1.9031,NA,1,10,8,NA,jiao1,juan3,NA,14,4,NA,70.30654541,175.9913881,NA,2072.178649,55.63857825,NA,9,8.5,NA
脚印,jiao3yin4,footprint,2,2.659902319,0.563469494,3.424977551,2.382,6.772727273,0,11,5,NA,jiao3,yin4,NA,15,7,NA,175.0643812,409.4672956,NA,564.1684697,6372.736611,NA,7,8.5,NA
轿车,jiao4che1,car,2,21.86525245,1.359176001,4.33973588,2.6375,8.45,1,10,4,NA,jiao4,che1,NA,14,12,NA,44.22118976,1045.048261,NA,1683.873078,1045.020679,NA,7.5,6.5,NA
教堂,jiao4tang2,church,2,18.19617064,1.283214602,4.259965029,3.3377,10,5,11,11,NA,jiao4,tang2,NA,14,22,NA,1576.708253,215.0481133,NA,2072.178649,456.8368107,NA,7,8,NA
精灵,jing1ling2,demon,2,3.146747252,0.617707566,3.497950744,2.7642,8.95,3,14,7,NA,jing1,ling2,NA,10,13,NA,814.6655158,225.9266538,NA,6299.095397,456.9908634,NA,8,7.5,NA
鲸鱼,jing1yu2,whale,2,0.866310984,0.270984012,2.938093083,2.2989,9.703703704,2,16,8,NA,jing1,yu2,NA,10,8,NA,1.354856259,156.4488983,NA,6299.095397,4175.387138,NA,NA,6.5,NA
井盖,jing3gai4,well cover,2,0.619703551,0.209435534,2.792784557,NA,9.473684211,NA,4,11,NA,jing3,gai4,NA,NA,NA,NA,79.95804628,134.857979,NA,547.6067983,358.5982957,NA,7,7.5,NA
静脉,jing4mai4,vein,2,6.136066143,0.853458867,3.787917744,2.179,13,6,14,9,NA,jing4,mai4,NA,11,20,NA,213.5082593,44.90332692,NA,1155.543045,349.2999724,NA,7,10,NA
镜子,jing4zi5,mirror,2,8.057056151,0.95698706,3.906188748,2.6222,7.8,3,16,3,NA,jing4,zi,NA,11,6,NA,84.36704723,3310.14391,NA,1155.543045,825.9382697,NA,7,6.5,NA
拉链,la1lian4,zipper,2,0.794421733,0.25392452,2.900511615,2.1614,5.2,3,8,12,NA,la1,lian4,NA,23,8,NA,691.3298695,64.44245305,NA,707.4145831,458.0530868,NA,7.5,9.5,NA
喇叭,la3ba5,horn,2,4.875729259,0.769061776,3.688083939,2.1875,9.368421053,3,12,5,NA,la3,ba1,NA,22,13,NA,9.102562084,10.58792585,NA,707.4145831,830.2113814,NA,8.5,8.5,NA
腊梅,la4mei2,wintersweet,2,0.471375094,0.167723401,2.67416754,NA,NA,NA,12,11,NA,la4,mei2,NA,NA,NA,NA,41.55722214,15.70059097,NA,83.55372984,1770.88122,NA,7.5,8,NA
蜡烛,la4zhu2,candle,2,5.064097299,0.782766161,3.704543384,2.5065,6.761904762,0,14,10,NA,la4,zhu2,NA,22,21,NA,17.8539648,8.337007753,NA,4905.808714,320.0925274,NA,8.5,8.5,NA
辣椒,la4jiao1,pepper,2,3.632682195,0.665832508,3.560299493,2.1461,6.052631579,0,14,12,NA,la4,jiao1,NA,22,14,NA,23.7335297,8.469533415,NA,83.55372984,2072.178649,NA,8,9.5,NA
罗盘,luo2pan2,compass,2,1.186627651,0.339774836,3.074610694,1.2304,NA,0,8,11,NA,luo2,pan2,NA,16,19,NA,473.4771903,162.829639,NA,3.331304962,165.9510556,NA,9.5,8.5,NA
萝卜,luo2bo5,carrot,2,7.431892657,0.925925069,3.871115911,1.8062,5.545454545,0,11,2,NA,luo2,bo,NA,16,13,NA,10.40427353,13.12474956,NA,555.4426303,19.33,NA,8.5,8.5,NA
螺丝,luo2si1,screw,2,1.441424999,0.387643387,3.159029449,1.8692,8.352941176,1,17,5,NA,luo2,si1,NA,16,10,NA,28.94844813,145.3947782,NA,555.4426303,2878.815262,NA,8,8,NA
骆驼,luo4tuo5,camel,2,4.573612403,0.746136764,3.660309068,1.9868,8.14285714,0,9,8,NA,luo4,tuo2,NA,18,13,NA,3.899752598,13.42612771,NA,593.5185311,27.42944841,NA,7.5,7.5,NA
落日,luo4ri4,sunset,2,1.778121495,0.443751235,3.250146944,1.4624,10.38461538,2,12,4,NA,luo4,ri4,NA,18,8,NA,420.5456336,3215.388735,NA,83.55372984,3215.388735,NA,7,6.5,NA
麻花,ma2hua1,fried dough twist,2,0.592403835,0.202053215,2.773247778,1.1139,NA,1,11,7,NA,ma2,hua1,NA,19,7,NA,127.3517793,618.8457324,NA,166.0748359,617.5130758,NA,9,6.5,NA
麻雀,ma2que4,sparrow,2,2.699941902,0.568194905,3.431464079,1.5315,7.6875,0,11,11,NA,ma2,que4,NA,19,7,NA,127.3517793,9.858698348,NA,166.0748359,72.08588742,NA,9,7.5,NA
马蹄,ma3ti2,waternut,2,2.819150662,0.581966791,3.450221759,1,NA,0,3,16,NA,ma3,ti2,NA,21,14,NA,1015.390094,16.34101955,NA,1130.365187,7236.127844,NA,6.5,8,NA
马桶,ma3tong3,toilet,2,1.499664393,0.397881704,3.176220838,2.4265,9.65,2,3,11,NA,ma3,tong3,NA,21,17,NA,1015.390094,18.28046871,NA,1130.365187,1221.666623,NA,6.5,8,NA
蚂蚁,ma3yi3,ant,2,4.008508284,0.699708396,3.603044675,2.1004,6.888888889,0,9,9,NA,ma3,yi3,NA,21,7,NA,3.669682667,4.364601493,NA,166.0748359,5722.290572,NA,7,7,NA
